Reporting Month,Asset Class,Product,Number of Open Positions,Aggregate Gross Notional Value of Open Positions (in USD million),Number of New Transactions,Aggregate Notional Value of New Transactions (in USD million)
Oct-17,Credit,Index,2055,56354,212,5216
Oct-17,Credit,Single name: Corporate,3686,27067,142,1188
Oct-17,Credit,Single name: Sovereign,6390,81965,222,3409
Oct-17,Credit,Others,888,37903,154,22525
Oct-17,Foreign Exchange,Forwards and swaps,208910,4433371,174347,6557536
Oct-17,Foreign Exchange,NDF,205438,1572931,137199,967227
Oct-17,Foreign Exchange,Spot,6735,138433,21361,664036
Oct-17,Foreign Exchange,Options,121095,2289259,60639,765601
Oct-17,Foreign Exchange,Others,192259,895939,46447,115412
Oct-17,Interest Rate,Cross Currency Swap,30474,1414484,1760,102649
Oct-17,Interest Rate,FRA,3707,402665,592,125440
Oct-17,Interest Rate,Interest Rate Swap,257519,14562470,18271,1531635
Oct-17,Interest Rate,Options,7756,566166,761,78823
Oct-17,Interest Rate,Others,7596,262531,1089,19379
Nov-17,Credit,Index,2114,57704,152,2998
Nov-17,Credit,Single name: Corporate,3831,27771,191,1211
Nov-17,Credit,Single name: Sovereign,6485,84612,323,5064
Nov-17,Credit,Others,882,41134,131,10508
Nov-17,Foreign Exchange,Forwards and swaps,217235,4607718,174880,6708738
Nov-17,Foreign Exchange,NDF,219750,1784374,167046,1221020
Nov-17,Foreign Exchange,Spot,6916,150562,23142,799891
Nov-17,Foreign Exchange,Options,114581,2105663,60319,751371
Nov-17,Foreign Exchange,Others,188301,849364,39054,49134
Nov-17,Interest Rate,Cross Currency Swap,31047,1468381,1632,153051
Nov-17,Interest Rate,FRA,3679,435565,821,169825
Nov-17,Interest Rate,Interest Rate Swap,262016,15612752,19687,2006613
Nov-17,Interest Rate,Options,8065,556997,796,46424
Nov-17,Interest Rate,Others,8009,268486,1114,25067
Dec-17,Credit,Index,2039,56627,47,790
Dec-17,Credit,Single name: Corporate,3704,27269,109,863
Dec-17,Credit,Single name: Sovereign,6356,83194,116,2948
Dec-17,Credit,Others,937,41027,81,2352
Dec-17,Foreign Exchange,Forwards and swaps,190882,4132038,157795,5817838
Dec-17,Foreign Exchange,NDF,160273,1351513,111929,823997
Dec-17,Foreign Exchange,Spot,6421,115698,22017,812769
Dec-17,Foreign Exchange,Options,100805,1733729,43142,477556
Dec-17,Foreign Exchange,Others,168001,777327,22802,38967
Dec-17,Interest Rate,Cross Currency Swap,31121,1442057,924,74145
Dec-17,Interest Rate,FRA,3126,301578,502,59743
Dec-17,Interest Rate,Interest Rate Swap,242755,13732060,22519,1969478
Dec-17,Interest Rate,Options,8354,582372,734,114249
Dec-17,Interest Rate,Others,8069,265508,749,18995
Jan-18,Credit,Index,2162,61087,180,6479
Jan-18,Credit,Single name: Corporate,3920,28373,352,1981
Jan-18,Credit,Single name: Sovereign,6478,82636,210,2566
Jan-18,Credit,Others,871,41531,92,4641
Jan-18,Foreign Exchange,Forwards and swaps,204274,4459378,197336,7651410
Jan-18,Foreign Exchange,NDF,224769,1661320,191355,1212756
Jan-18,Foreign Exchange,Spot,7022,162225,26068,965431
Jan-18,Foreign Exchange,Options,114860,2070529,66338,989276
Jan-18,Foreign Exchange,Others,144901,1212809,57635,1118263
Jan-18,Interest Rate,Cross Currency Swap,31324,1462412,1861,127629
Jan-18,Interest Rate,FRA,3158,346589,691,121786
Jan-18,Interest Rate,Interest Rate Swap,248790,14351444,25132,2128667
Jan-18,Interest Rate,Options,8478,654523,838,132240
Jan-18,Interest Rate,Others,8442,277506,1282,30500
Feb-18,Credit,Index,1919,56274,259,6899
Feb-18,Credit,Single name: Corporate,4259,30753,147,1229
Feb-18,Credit,Single name: Sovereign,5326,76889,249,7148
Feb-18,Credit,Others,910,33772,189,19980
Feb-18,Foreign Exchange,Forwards and swaps,213736,4904110,186281,7439479
Feb-18,Foreign Exchange,NDF,250558,1861845,182017,1178298
Feb-18,Foreign Exchange,Spot,6983,150266,21931,881781
Feb-18,Foreign Exchange,Options,117759,2094927,58745,797146
Feb-18,Foreign Exchange,Others,163216,232204,51973,112835
Feb-18,Interest Rate,Cross Currency Swap,32571,1495830,1520,121426
Feb-18,Interest Rate,FRA,3291,421379,543,136873
Feb-18,Interest Rate,Interest Rate Swap,254926,14878824,30041,2616414
Feb-18,Interest Rate,Options,8730,679391,603,66382
Feb-18,Interest Rate,Others,9120,285814,848,20386
Mar-18,Credit,Index,2045,57787,185,5827
Mar-18,Credit,Single name: Corporate,4272,31115,170,2155
Mar-18,Credit,Single name: Sovereign,5830,84094,219,5308
Mar-18,Credit,Others,901,34157,113,5971
Mar-18,Foreign Exchange,Forwards and swaps,195947,4571362,207481,8130695
Mar-18,Foreign Exchange,NDF,184095,1538949,156749,1181752
Mar-18,Foreign Exchange,Spot,5551,101017,25015,858832
Mar-18,Foreign Exchange,Options,115648,1990980,63894,771077
Mar-18,Foreign Exchange,Others,162800,270968,41938,107155
Mar-18,Interest Rate,Cross Currency Swap,32704,1487814,1625,130816
Mar-18,Interest Rate,FRA,3738,499936,1614,299033
Mar-18,Interest Rate,Interest Rate Swap,256590,14919570,24353,2331087
Mar-18,Interest Rate,Options,8757,653958,726,80235
Mar-18,Interest Rate,Others,9451,289115,1218,27357
Apr-18,Credit,Index,1991,56993,126,3166
Apr-18,Credit,Single name: Corporate,4340,31310,165,1198
Apr-18,Credit,Single name: Sovereign,5888,84746,116,2004
Apr-18,Credit,Others,964,35418,99,3112
Apr-18,Foreign Exchange,Forwards and swaps,216088,4988347,229782,8907488
Apr-18,Foreign Exchange,NDF,201950,1567133,158792,1088661
Apr-18,Foreign Exchange,Spot,5816,131150,24295,864149
Apr-18,Foreign Exchange,Options,117285,1958743,59973,668070
Apr-18,Foreign Exchange,Others,165857,282716,42428,66759
Apr-18,Interest Rate,Cross Currency Swap,33272,1469906,1237,88404
Apr-18,Interest Rate,FRA,3409,502099,567,178952
Apr-18,Interest Rate,Interest Rate Swap,261106,15434761,20443,2038683
Apr-18,Interest Rate,Options,9883,747094,834,111170
Apr-18,Interest Rate,Others,8772,273323,1015,21309
May-18,Credit,Index,1805,58341,121,9656
May-18,Credit,Single name: Corporate,4336,31572,280,1886
May-18,Credit,Single name: Sovereign,5542,83362,670,11969
May-18,Credit,Others,1003,22128,152,2992
May-18,Foreign Exchange,Forwards and swaps,233106,5290261,243737,8586887
May-18,Foreign Exchange,NDF,240326,1748268,191641,1244312
May-18,Foreign Exchange,Spot,5767,122017,26309,993225
May-18,Foreign Exchange,Options,120988,2138872,63796,879218
May-18,Foreign Exchange,Others,174969,331789,53793,165877
May-18,Interest Rate,Cross Currency Swap,35336,1617184,1564,139142
May-18,Interest Rate,FRA,4381,740256,1553,348557
May-18,Interest Rate,Interest Rate Swap,266324,14910262,24658,2743279
May-18,Interest Rate,Options,14785,1191090,1482,365188
May-18,Interest Rate,Others,7802,279520,1005,26221
Jun-18,Credit,Index,1676,56603,171,6651
Jun-18,Credit,Single name: Corporate,3830,28401,183,1387
Jun-18,Credit,Single name: Sovereign,4938,75519,195,6215
Jun-18,Credit,Others,1045,23167,94,2155
Jun-18,Foreign Exchange,Forwards and swaps,232288,5111747,236729,8304362
Jun-18,Foreign Exchange,NDF,242833,1683697,181491,1147507
Jun-18,Foreign Exchange,Spot,4508,129736,25667,907893
Jun-18,Foreign Exchange,Options,124465,2193078,64530,805992
Jun-18,Foreign Exchange,Others,180139,384410,43572,129681
Jun-18,Interest Rate,Cross Currency Swap,35392,1596609,1375,138868
Jun-18,Interest Rate,FRA,4421,662212,1525,268448
Jun-18,Interest Rate,Interest Rate Swap,261674,14695730,22962,2291288
Jun-18,Interest Rate,Options,14648,1124893,867,589603
Jun-18,Interest Rate,Others,9207,298116,963,29615
Jul-18,Credit,Index,1728,60272,173,6937
Jul-18,Credit,Single name: Corporate,4461,32291,153,1231
Jul-18,Credit,Single name: Sovereign,5309,77395,219,3839
Jul-18,Credit,Others,1137,23601,191,2837
Jul-18,Foreign Exchange,Forwards and swaps,240444,4971132,244671,7703947
Jul-18,Foreign Exchange,NDF,239289,1691844,180203,1154519
Jul-18,Foreign Exchange,Spot,3804,126575,26000,965192
Jul-18,Foreign Exchange,Options,125828,2221983,66185,806084
Jul-18,Foreign Exchange,Others,180881,381492,45350,75959
Jul-18,Interest Rate,Cross Currency Swap,36013,1664982,1846,167676
Jul-18,Interest Rate,FRA,3841,572679,573,133070
Jul-18,Interest Rate,Interest Rate Swap,264254,14905855,24910,2010451
Jul-18,Interest Rate,Options,14448,1091760,713,41561
Jul-18,Interest Rate,Others,9696,309291,1366,34156
Aug-18,Credit,Index,1587,56916,134,3161
Aug-18,Credit,Single name: Corporate,3974,29487,93,637
Aug-18,Credit,Single name: Sovereign,4812,74589,164,2226
Aug-18,Credit,Others,1267,35148,156,10338
Aug-18,Foreign Exchange,Forwards and swaps,265599,5034998,272215,8011009
Aug-18,Foreign Exchange,NDF,239066,1791885,186782,1132323
Aug-18,Foreign Exchange,Spot,3099,115669,26691,1044244
Aug-18,Foreign Exchange,Options,129607,2320027,66939,826786
Aug-18,Foreign Exchange,Others,185573,267909,55102,90029
Aug-18,Interest Rate,Cross Currency Swap,36869,1733982,1705,153532
Aug-18,Interest Rate,FRA,4610,675214,1187,213473
Aug-18,Interest Rate,Interest Rate Swap,273774,15050108,22731,1970033
Aug-18,Interest Rate,Options,13746,1039507,901,75139
Aug-18,Interest Rate,Others,9782,196059,878,23933
Sep-18,Credit,Index,1632,57032,181,7160
Sep-18,Credit,Single name: Corporate,3919,29979,170,2515
Sep-18,Credit,Single name: Sovereign,4810,75342,279,9301
Sep-18,Credit,Others,1272,36721,99,3051
